ID,id_empleado,fecha,hora_ingreso,hora_salida,justificacion
1,04394,2024-07-01,08:05,17:00,""
2,10070,2024-07-01,08:10,17:05,""
3,20638,2024-07-01,08:05,17:10,""
4,15616,2024-07-01,08:10,17:10,""
5,21145,2024-07-01,08:00,17:05,""
6,22694,2024-07-01,08:10,17:05,""
7,00186,2024-07-01,08:05,17:10,""
8,14537,2024-07-01,08:05,17:10,""
9,01397,2024-07-01,08:05,17:05,""
10,04866,2024-07-01,08:10,17:00,""
11,00439,2024-07-01,08:00,17:10,""
12,00142,2024-07-01,08:05,17:10,""
13,22056,2024-07-01,08:10,17:10,""
14,21037,2024-07-01,08:00,17:00,""
15,22949,2024-07-01,08:10,17:00,""
16,05515,2024-07-01,08:00,17:10,""
17,03487,2024-07-01,08:05,17:00,""
18,20200,2024-07-01,08:05,17:10,""
19,00731,2024-07-01,08:05,17:05,""
20,00200,2024-07-01,08:00,17:10,""
21,02150,2024-07-01,08:05,17:10,""
22,10616,2024-07-01,08:05,17:10,""
23,15245,2024-07-01,08:10,17:05,""
24,23863,2024-07-01,08:00,17:05,""
25,04223,2024-07-01,08:10,17:05,""
26,09404,2024-07-01,08:10,17:10,""
27,13174,2024-07-01,08:10,17:00,""
28,04471,2024-07-01,08:00,17:05,""
29,17888,2024-07-01,08:10,17:00,""
30,00014,2024-07-01,08:05,17:00,""
31,12309,2024-07-01,08:10,17:00,""
32,05878,2024-07-01,08:00,17:10,""
33,13787,2024-07-01,08:00,17:10,""
34,10071,2024-07-02,08:10,17:05,""
35,04394,2024-07-02,08:10,17:05,""
36,10070,2024-07-02,08:10,17:00,""
37,20638,2024-07-02,08:00,17:05,""
38,15616,2024-07-02,08:00,17:05,""
39,21145,2024-07-02,08:00,17:05,""
40,22694,2024-07-02,08:05,17:05,""
41,00186,2024-07-02,08:10,17:00,""
42,14537,2024-07-02,08:05,17:00,""
43,01397,2024-07-02,08:05,17:10,""
44,04866,2024-07-02,08:10,17:10,""
45,00439,2024-07-02,08:00,17:00,""
46,00142,2024-07-02,08:00,17:10,""
47,22056,2024-07-02,08:00,17:10,""
48,21037,2024-07-02,08:10,17:10,""
49,05515,2024-07-02,08:00,17:05,""
50,03487,2024-07-02,08:05,17:05,""
51,20200,2024-07-02,08:05,17:10,""
52,00731,2024-07-02,08:10,17:10,""
53,00200,2024-07-02,08:00,17:05,""
54,02150,2024-07-02,08:00,17:05,""
55,10616,2024-07-02,08:10,17:05,""
56,15245,2024-07-02,08:00,17:05,""
57,23863,2024-07-02,08:00,17:10,""
58,04223,2024-07-02,08:00,17:00,""
59,09404,2024-07-02,08:00,17:05,""
60,13174,2024-07-02,08:00,17:00,""
61,04471,2024-07-02,08:05,17:05,""
62,17888,2024-07-02,08:10,17:10,""
63,00014,2024-07-02,08:10,17:00,""
64,12309,2024-07-02,08:05,17:00,""
65,05878,2024-07-02,08:05,17:10,""
66,13787,2024-07-02,08:00,17:10,""
67,10071,2024-07-03,08:10,17:05,""
68,04394,2024-07-03,08:05,17:05,""
69,20638,2024-07-03,08:10,17:05,""
70,15616,2024-07-03,08:05,17:00,""
71,21145,2024-07-03,08:05,17:00,""
72,22694,2024-07-03,08:00,17:05,""
73,14537,2024-07-03,08:10,17:10,""
74,01397,2024-07-03,08:00,17:00,""
75,04866,2024-07-03,08:10,17:05,""
76,00439,2024-07-03,08:00,17:00,""
77,00142,2024-07-03,08:00,17:05,""
78,22056,2024-07-03,08:05,17:10,""
79,21037,2024-07-03,08:05,17:05,""
80,22949,2024-07-03,08:05,17:10,""
81,05515,2024-07-03,08:05,17:10,""
82,03487,2024-07-03,08:05,17:00,""
83,20200,2024-07-03,08:00,17:00,""
84,00731,2024-07-03,08:00,17:05,""
85,00200,2024-07-03,08:00,17:05,""
86,02150,2024-07-03,08:10,17:00,""
87,10616,2024-07-03,08:05,17:05,""
88,15245,2024-07-03,08:10,17:10,""
89,04223,2024-07-03,08:10,17:00,""
90,13174,2024-07-03,08:05,17:00,""
91,04471,2024-07-03,08:10,17:05,""
92,17888,2024-07-03,08:10,17:05,""
93,00014,2024-07-03,08:10,17:10,""
94,12309,2024-07-03,08:10,17:05,""
95,05878,2024-07-03,08:10,17:00,""
96,10071,2024-07-04,08:10,17:10,""
97,10070,2024-07-04,08:00,17:05,""
98,20638,2024-07-04,08:05,17:05,""
99,15616,2024-07-04,08:05,17:10,""
100,21145,2024-07-04,08:10,17:00,""
101,22694,2024-07-04,08:00,17:00,""
102,00186,2024-07-04,08:05,17:05,""
103,14537,2024-07-04,08:10,17:10,""
104,01397,2024-07-04,08:10,17:00,""
105,04866,2024-07-04,08:00,17:00,""
106,00439,2024-07-04,08:10,17:05,""
107,00142,2024-07-04,08:10,17:05,""
108,22056,2024-07-04,08:05,17:10,""
109,21037,2024-07-04,08:00,17:10,""
110,22949,2024-07-04,08:00,17:05,""
111,05515,2024-07-04,08:00,17:00,""
112,03487,2024-07-04,08:00,17:00,""
113,20200,2024-07-04,08:05,17:00,""
114,00731,2024-07-04,08:05,17:00,""
115,00200,2024-07-04,08:00,17:10,""
116,10616,2024-07-04,08:10,17:05,""
117,15245,2024-07-04,08:05,17:10,""
118,04223,2024-07-04,08:00,17:00,""
119,09404,2024-07-04,08:00,17:10,""
120,04471,2024-07-04,08:10,17:10,""
121,17888,2024-07-04,08:00,17:00,""
122,00014,2024-07-04,08:05,17:00,""
123,12309,2024-07-04,08:00,17:05,""
124,05878,2024-07-04,08:00,17:05,""
125,13787,2024-07-04,08:00,17:10,""
126,10071,2024-07-05,08:10,17:00,""
127,04394,2024-07-05,08:10,17:00,""
128,10070,2024-07-05,08:00,17:10,""
129,20638,2024-07-05,08:10,17:10,""
130,15616,2024-07-05,08:05,17:10,""
131,21145,2024-07-05,08:05,17:10,""
132,22694,2024-07-05,08:00,17:05,""
133,00186,2024-07-05,08:05,17:05,""
134,14537,2024-07-05,08:05,17:00,""
135,01397,2024-07-05,08:10,17:00,""
136,04866,2024-07-05,08:05,17:10,""
